movie_id,genre_id
124008,25
65215,8
53395,27
174690,8
95634,25
104254,8
110380,12
74787,10
175081,20
10528,26
161255,25
168661,1
82829,26
63135,26
166499,22
46300,8
115631,5
169827,13
160852,13
167320,13
12760,12
114847,1
94693,8
147,14
138305,8
188357,25
10808,25
24921,11
21908,5
184691,11
136446,8
46179,27
120474,22
74501,1
108887,1
201277,8
110456,27
118242,27
185595,1
136075,10
150608,25
150958,1
86688,1
171925,15
144197,8
155111,23
66492,12
153112,22
48240,1
72775,1
83082,25
116019,1
104397,20
150283,28
63232,8
69161,1
61646,1
81825,28
142328,8
99257,1
181255,20
96211,13
1977,8
18232,22
18064,13
110781,5
141753,8
32235,15
194914,13
112199,5
55151,8
171997,25
28953,27
94612,8
170986,1
185310,8
154781,25
2803,13
144405,1
83672,13
21494,13
184663,8
24361,22
196316,1
74874,8
138343,8
131391,8
28234,5
195622,1
99898,25
182959,8
188135,13
76092,8
122024,5
173057,13
52822,1
90735,28
184760,1
43143,22
172324,13
57410,8
110560,8
201317,8
153499,8
134673,10
78400,16
163931,1
177142,9
109673,13
151377,1
177093,8
37258,1
180535,7
193949,1
194232,7
116605,8
124355,8
136325,13
83229,17
111893,8
75034,1
179636,26
161991,13
178955,25
138039,8
199983,1
74985,1
67562,23
46923,10
774,26
36068,5
84091,8
100656,22
198742,8
62826,1
41662,7
196092,8
199425,1
183661,8
164709,1
63511,7
33946,8
61671,5
200597,8
184093,13
121290,8
106505,13
11083,8
26591,8
112225,8
167442,1
199097,13
101595,5
134947,15
122558,25
101350,8
81647,15
172992,1
169009,20
33005,25
90442,25
168684,8
77903,1
148094,27
72402,8
157935,25
174070,22
84409,1
158050,8
22947,25
8195,5
114099,11
202227,8
87143,8
93842,8
82325,25
192440,8
111533,8
5715,11
194113,8
168233,8
116543,8
35341,10
60912,10
119748,13
94735,8
158060,22
180599,1
151435,1
145143,7
173169,1
119598,1
69555,1
87725,10
78392,13
62146,22
112244,13
167652,25
184112,16
126227,10
65266,5
158366,5
158175,16
197441,8
75247,22
171639,17
56348,1
197402,8
141536,22
156323,1
101240,1
31980,20
146094,1
197958,8
63714,8
77443,25
123136,8
40282,13
179691,26
145176,8
125093,8
164065,10
188333,8
151273,22
82787,10
196748,8
182072,8
106992,1
141020,22
175546,8
161665,1
97348,7
54992,7
30503,1
21946,17
27851,22
102800,0
65020,1
175264,25
94045,8
101143,13
156138,13
74974,20
157452,8
197646,8
178933,8
156094,13
166682,1
139622,8
160033,5
21851,17
149913,13
188566,13
83683,25
138736,8
158240,15
160802,8
72141,13
158614,8
70443,13
154714,22
187951,13
168948,8
26769,8
55535,25
71298,1
185495,28
89904,22
150103,25
920,13
156339,25
39967,13
121352,8
180862,8
155234,1
6400,25
138687,1
155644,12
155873,8
130287,0
84301,5
79984,8
12815,22
52679,1
35396,11
144099,28
32505,25
30733,8
201562,22
28817,13
35438,8
141893,13
184075,22
95861,8
34116,1
59816,13
140342,1
60973,5
42711,8
54379,13
102942,25
173943,8
167866,16
84605,11
142829,13
114597,25
156444,22
81375,8
9581,7
113785,8
78448,8
117940,12
169408,8
132179,10
5327,5
174191,15
188550,1
14317,25
103121,25
37015,13
46718,8
165205,22
167535,22
163149,1
118912,8
158291,8
106038,5
177699,8
101899,27
136370,25
179180,13
131363,8
141054,1
199323,13
162234,22
15723,8
142168,8
189114,22
18089,1
45466,1
199394,0
145763,1
196929,1
180667,8
69236,1
92734,22
188788,8
75592,10
170835,22
29587,1
178167,13
173514,8
200403,8
20845,1
61769,22
154116,1
14154,12
91341,8
42380,22
60882,1
62755,0
200969,8
81537,8
68871,1
191943,7
68533,22
185103,8
153957,10
111248,8
163890,8
81934,8
67366,8
176390,13
187152,12
201677,8
165598,1
122954,8
37110,1
182592,8
14036,11
91561,8
88872,13
63558,5
157503,8
175062,14
77468,25
66502,25
116471,8
69713,25
176075,1
141199,1
141323,8
197462,8
62473,25
135306,1
108809,16
151100,13
119031,1
89389,25
169539,25
190088,0
198632,28
26436,14
99497,20
62453,15
176200,8
12952,26
91958,5
195204,11
44457,8
111933,7
181976,8
71363,22
7953,1
42659,10
76739,5
86459,25
160828,5
123467,8
113523,12
79001,25
135253,13
82615,25
188697,8
150119,8
169801,8
54982,8
87497,11
188214,16
200,22
10114,25
70510,1
194051,8
159198,1
55290,1
22933,1
23228,22
39793,25
168503,9
146148,1
118456,26
62223,8
101115,8
160158,8
184313,8
144594,16
151021,1
115143,22
176274,1
