movie_id,rating
105972,7.5
68087,8.1
28510,5.6
35088,4.2
94014,6.1
48000,6.7
198386,5.5
108851,6.6
101571,5.2
111729,5.9
55150,8.6
44416,5.9
155990,7.7
131067,5.9
114598,6.3
125974,6.8
29712,5.8
155699,7.1
146667,8.7
184774,6.6
97033,4.3
121448,7.8
104476,6.4
136401,6.4
170092,5.6
77115,4.8
147517,4.9
55509,7.1
132985,4.1
103210,2.2
195336,6.6
131368,7.4
37507,5.7
98263,5.5
48487,3.2
133580,5.2
11652,7.0
155386,6.1
84331,6.8
175382,5.4
63362,7.7
57121,6.5
157766,5.3
14766,6.1
103276,7.5
199631,7.8
2971,7.2
165395,5.7
39865,5.2
193167,6.7
120212,5.0
54993,4.4
56486,2.5
1154,6.3
109463,3.0
95891,2.5
42604,7.6
153154,2.9
12497,7.8
63514,8.2
146442,5.1
94378,7.7
149146,2.6
27452,5.3
104662,4.5
166895,6.0
52495,7.6
194921,3.6
131773,6.0
196005,6.7
112529,8.6
187554,8.6
178642,7.9
120679,5.2
70993,5.2
94533,5.5
161146,4.9
57891,6.1
105986,3.8
147175,6.5
164837,6.1
142186,7.3
50836,7.8
108982,3.3
9492,6.6
188232,7.1
181995,8.9
68637,4.5
162799,8.3
70853,5.1
200546,6.4
162759,4.9
97257,7.4
39379,5.0
62339,5.7
82173,5.6
63589,8.0
153122,5.1
142636,5.9
164685,6.1
99526,6.0
83341,7.4
63838,5.4
63441,8.1
167599,7.3
1206,5.6
63354,5.4
138753,6.7
137508,7.2
108396,5.4
195794,6.4
183281,4.4
118789,6.9
38710,5.0
121598,5.6
100608,6.2
161781,7.2
201459,5.7
177027,6.7
67182,7.6
86018,6.8
151587,4.8
101784,6.4
76684,6.4
150566,5.8
146972,7.3
41662,6.6
115228,4.8
45380,6.7
7075,4.6
40950,6.4
63610,5.1
54083,6.2
20161,6.2
167844,3.9
6725,5.8
9433,5.5
100530,3.2
166669,7.3
98947,6.2
1167,6.4
201562,7.5
2970,1.9
148705,7.7
130929,5.9
9189,5.7
43076,7.1
199092,6.1
103379,7.3
152905,4.6
153495,6.1
13576,5.3
80760,5.6
168128,6.5
49602,5.5
55155,5.7
8576,6.2
56720,6.6
83123,6.0
149634,6.9
158568,7.6
95653,7.5
82970,6.6
137017,6.6
158907,6.1
124471,4.0
10255,6.0
31748,5.0
16235,7.1
19279,7.2
112905,6.7
188279,5.4
157640,5.9
164541,2.4
191216,5.5
69738,7.3
14668,6.9
109362,1.1
110498,5.2
41298,6.8
94067,6.0
185443,6.9
51740,7.1
28674,6.3
101112,6.6
77356,4.7
115774,4.9
48845,5.4
159820,4.0
87407,7.4
140114,3.6
120221,6.5
54832,5.7
9121,7.7
9884,7.7
85213,6.2
53425,7.7
141059,6.7
125822,4.0
62657,3.7
13740,6.8
89920,6.2
25001,6.7
55513,5.7
188749,5.0
99651,5.6
27600,3.8
183473,8.4
91077,6.4
60118,9.2
139731,7.8
14596,7.8
63100,7.2
4100,6.7
180055,7.0
12327,6.6
93577,6.0
167428,5.0
28211,6.9
143802,5.0
126791,7.6
190762,8.0
9828,6.1
108193,6.3
118840,6.9
143982,5.0
2515,6.3
60568,6.9
69023,5.6
144245,6.5
74423,7.6
127432,6.6
112244,5.0
45864,5.8
184735,5.1
132519,5.8
22044,6.2
201262,6.6
198424,6.9
127591,7.0
160086,5.2
46858,6.4
136446,8.4
49199,6.7
68514,5.5
140281,7.3
110979,7.1
111567,6.5
63057,6.7
179321,5.6
76553,4.8
192190,6.4
5706,5.9
5718,6.3
131935,6.6
171526,5.0
8814,5.6
191351,6.1
72235,5.5
31855,6.7
93288,6.9
9348,7.1
145575,6.4
201803,5.8
179141,5.8
179530,5.7
59998,6.4
201264,5.7
181442,6.7
96081,7.5
187449,4.8
26247,7.9
62586,6.8
15777,5.2
179472,5.8
193371,5.7
137371,4.1
160924,7.2
49320,6.9
57943,2.9
64263,5.9
127860,8.1
194363,7.6
93868,6.7
148261,5.1
148129,7.2
186488,7.6
120478,6.0
44440,5.8
68000,6.5
146148,7.0
180647,7.7
175892,7.5
154596,5.4
50347,7.1
127814,4.4
135368,7.9
7994,5.6
99439,5.3
36096,5.3
152107,6.5
67676,7.9
89163,5.8
118136,6.4
1582,7.2
70345,6.1
194700,5.0
14865,5.4
132034,5.1
177516,5.5
102095,5.6
47204,6.4
131954,2.1
73167,4.7
179939,3.2
18936,6.5
18674,4.6
24949,5.1
133824,4.1
131158,6.6
144790,5.8
23991,4.8
61963,7.4
201805,6.9
199390,6.8
113338,6.5
177968,7.3
25176,5.7
184259,6.5
68604,7.8
20355,9.1
28224,4.0
74000,3.9
122259,3.0
118950,5.7
112759,6.9
2698,9.0
49298,6.6
186529,7.1
15830,4.3
35076,5.1
51377,5.9
151331,6.6
107979,6.6
38932,5.9
79755,5.7
132290,4.8
6601,6.3
78978,6.5
81189,5.2
153917,5.5
191394,4.8
129907,6.2
24000,7.3
108665,5.9
146263,4.8
88913,6.2
115938,8.0
16113,6.5
154621,4.6
22305,4.4
138559,6.6
184090,6.6
78555,7.0
42453,4.6
160381,5.6
195197,7.3
6745,6.8
