id,long,lat
X68,-120.510685632,37.3141668947
X69,-121.844578222,36.6012542222
X70,-121.242642,38.7363793448
X71,-121.321949667,38.778518037
X72,-121.274536921,38.8261309211
X73,-122.052161562,38.2928271875
X74,-121.8815286,37.3160018
X75,-122.464112231,38.2808598077
X76,-122.590614778,38.2394685
X77,-121.892777647,37.2944153529
X78,-122.387227222,37.7277387778
X79,-122.419425182,37.790887
X80,-122.438227231,37.7814268462
X81,-122.4400614,37.7406222333
X82,-122.406549182,37.7519512727
X83,-122.865237882,38.6109415294
X84,-121.355484591,38.0355379545
X85,-121.319258692,38.0360259231
X86,-122.10147425,37.410095125
X87,-122.09666635,37.41760035
X88,-121.565489739,37.0026712609
X89,-122.007871433,36.9841656
X90,-122.477017345,37.6509687241
X91,-122.255379667,37.5107655476
X92,-121.52432681,38.5716892857
X93,-121.7055615,38.5400486786
X94,-121.7641544,38.5531135
X95,-122.630334147,38.9371777353
X96,-122.286882417,37.8660363333
X97,-122.267185882,37.9004910588
X98,-122.2760425,37.801698
X99,-122.233725737,37.794201
X100,-122.330362889,37.9822572963
X101,-122.353169625,37.9545986875
X102,-122.321601536,37.9387708571
X103,-122.030025929,37.5627857857
X104,-122.00936808,37.55459388
X105,-121.985668706,37.5509625294
X106,-121.471473582,39.5294902278
X107,-122.258907417,37.7622576667
X108,-122.110050625,37.6677941875
X109,-122.29155535,37.9051078
X110,-121.0594478,38.6816088222
X111,-121.267825714,38.7357781905
X112,-120.778589213,38.718979975
X113,-122.437975889,37.7748651111
X114,-121.192464796,37.8540517143
X115,-121.44434981,37.7145090952
X116,-122.23273952,37.476335
X117,-122.445028105,37.7053008421
X118,-122.279749083,37.5137251667
X119,-122.257854071,37.4984025
X120,-121.311272686,37.9100484
X121,-121.27053246,38.07464158
X122,-121.690868716,38.0991085625
X123,-122.022649385,37.3330387692
X124,-121.376432,38.5858387143
X125,-122.115770875,37.4065385
X126,-121.517734944,38.6086735556
X127,-122.144917,37.4354766
X128,-121.847208167,37.3552131667
X129,-121.303845,38.67142275
X130,-121.419056417,38.5216285
X131,-121.870466462,37.3228723846
X132,-121.8439465,37.3201105833
X133,-121.856243583,37.3127660833
X134,-122.002370545,37.2994027273
X135,-121.94562931,38.2787158966
X136,-121.943478138,38.3320740345
X137,-121.986256939,38.3785792121
X138,-122.618910667,38.2535437667
X139,-120.862778231,37.4984651538
X140,-121.639412208,39.2777709375
X141,-122.707570105,38.403855
X142,-122.72355519,38.4600504286
X143,-122.7067445,38.4484162
X144,-120.9673274,37.6717794
X145,-121.003146071,37.5978764286
X146,-122.301128875,38.311181
X147,-123.203100897,39.1359596552
X148,-120.602718368,37.3463630526
X149,-121.851834371,39.7128623429
X150,-121.582288944,38.4307224019
X151,-122.272490889,37.8089067778
X152,-122.022229579,37.3149154211
X153,-122.004135053,37.3300401579
X154,-122.010273,37.3586328125
X155,-122.04281532,37.39076644
X156,-121.837372235,37.2577013529
X157,-121.7646813,37.2230578333
X158,-121.636385053,36.710204
X159,-121.690300208,36.7174710625
X160,-121.83985048,36.59184912
X161,-121.093593366,38.8545855054
X162,-121.418498524,38.4477461429
X163,-121.490615526,38.6172364737
X164,-121.425438067,38.4679043333
X165,-122.4244947,37.7941523
X166,-121.02918255,37.3063154
X167,-122.16620275,37.73216555
X168,-122.169867132,37.6859707895
X169,-122.094724909,37.6806993636
X170,-121.834111963,37.2050757037
X171,-122.105299286,37.8690037429
X172,-121.876368087,36.9629734783
X173,-121.838655143,37.2888373571
X174,-121.814745526,37.3185076842
X175,-121.893150273,37.3473001818
X176,-121.89770884,37.3161016
X177,-121.616279361,38.0313070884
X178,-121.788651917,37.6725119167
X179,-121.35901869,38.6473568621
X180,-121.462605013,39.49091344
X181,-122.259367529,37.8169918235
X182,-122.288277389,38.2959412778
X183,-121.267844053,37.9681900526
X184,-121.897125462,37.3279208077
X185,-121.875786273,39.7539108182
X186,-122.485340529,37.7378907647
X187,-121.846045812,37.2699755625
X188,-121.506047333,38.5758968889
X189,-121.094240095,36.5104310541
X190,-120.524979896,36.1933505298
X191,-122.351041111,37.9694796111
X192,-121.354577067,38.6793674
X193,-121.861159029,37.2890702857
X194,-122.265228,37.8416282727
X195,-121.919558733,37.4830415333
X196,-121.890209316,37.6807371053
X197,-120.932116139,39.8643278114
X198,-121.752753905,37.6852498571
X199,-121.724955643,37.6894422143
X200,-121.879813,39.7350649231
X201,-121.79945804,39.72615512
X202,-120.140891662,37.6965220772
X203,-123.56187977,39.6896274124
X204,-121.643944625,36.7037725625
X205,-120.972160309,40.0438363356
X206,-122.412963833,37.7687935556
X207,-122.423099154,37.7515346154
X208,-122.4138035,37.7611239167
X209,-122.403419316,37.7164835789
X210,-122.467497842,37.7134442105
X211,-122.475833667,37.7836767778
X212,-122.4050811,37.7956791
X213,-121.2784507,38.1413066
X214,-121.243959778,37.8064477778
X215,-121.75483932,36.92733524
X216,-122.057114867,37.5841450667
X217,-121.9904949,37.5590555
X218,-121.943704136,37.5318293636
X219,-121.997650786,37.5449085714
X220,-121.931397762,37.5225478571
X221,-121.89918045,37.66929085
X222,-121.859980933,37.7059081333
X223,-121.741662588,37.675342
X224,-121.790100214,37.6639815
X225,-122.353308714,37.9416545714
X226,-120.507021413,38.8525525168
X227,-120.991410769,38.6831402308
X228,-120.558879053,38.6131341269
X229,-121.283196556,37.8332892222
X230,-121.423315118,37.7106797647
X231,-121.430583875,37.7465014375
X232,-122.128362935,37.4637643548
X233,-122.45958964,37.62756216
X234,-122.384759435,37.6207992609
X235,-121.880256143,37.3330224286
X236,-121.32002,38.6648438182
X237,-122.0253844,37.3855895
X238,-122.034742778,36.9590105556
X239,-122.031307357,37.0206625893
X240,-121.784323722,36.9574496944
X241,-122.572026625,38.1105780833
X242,-122.548045333,37.9987083333
X243,-122.506893,37.9667340625
X244,-122.491410556,37.940305
X245,-123.380369606,39.4262946093
X246,-122.694319091,38.3479763636
X247,-121.6695575,36.6782125
X248,-121.830710082,40.2812046403
X249,-119.988316437,38.1097465357
X250,-120.767487108,38.9090641661
X251,-121.789547154,37.2509465385
X252,-121.989619304,36.9828874783
X253,-122.235993214,38.1166215714
X254,-122.700954227,38.368102
X255,-123.152968474,38.5820173422
X256,-121.307116722,38.7162497778
X257,-121.2819771,38.6123833
X258,-121.363063,38.542715
X259,-121.327834813,38.0338704375
X260,-121.2858231,38.002628
X261,-121.261938417,38.1109995833
X262,-122.7089775,38.4352398571
