id,coor
254,[-122.70095423   38.368102  ]
262,[-122.7089775    38.43523986]
264,[-122.52240637   37.96034637]
268,[-122.029756    36.9759374]
269,[-122.15697945   38.07067195]
270,[-122.02999345   38.26482991]
272,[-121.8185292   37.347803 ]
273,[-121.82339887   37.2413362 ]
274,[-121.97706594   36.97716244]
275,[-122.22373725   38.10430467]
276,[-121.98119395   38.25793357]
277,[-122.17808107   37.72840157]
279,[-121.73145353   37.98364689]
280,[-122.03688763   37.97464837]
281,[-122.0286395    37.95440173]
282,[-122.0990054   37.8458706]
283,[-122.28380106   37.84682622]
284,[-122.258969     37.82921363]
285,[-122.30427582   37.81783039]
286,[-122.2850077   37.8056102]
287,[-122.22517562   37.789474  ]
288,[-122.15790814   37.69737105]
289,[-122.073556     37.63825482]
290,[-122.068416   37.585317]
291,[-122.48020005   37.98443192]
294,[-122.30266707   38.26032587]
295,[-122.30728272   38.29433311]
296,[-122.23935553   38.16016779]
297,[-121.83334259   38.45844265]
299,[-122.41599862   37.80210308]
300,[-121.8742428   37.3052226]
301,[-122.69754764   38.4604112 ]
302,[-122.38392741   37.73397506]
303,[-121.98162151   37.44151667]
304,[-122.05465087   37.4172796 ]
305,[-121.27441993   37.94853557]
306,[-122.00485658   37.39612583]
308,[-122.08350014   37.37867993]
309,[-121.76266092   37.23473767]
311,[-122.48589956   37.70354539]
312,[-121.96663014   36.97481782]
313,[-121.40362311   36.848219  ]
314,[-122.44696567   37.65569188]
315,[-122.23059464   37.48939691]
316,[-122.17190906   38.0939742 ]
321,[-122.26518787   37.79548031]
322,[-122.25367763   37.81363337]
323,[-122.295348     37.79755077]
324,[-121.93364382   37.56154539]
325,[-121.96233153   37.5287536 ]
326,[-121.97268107   37.53133727]
328,[-121.91005005   37.689188  ]
329,[-121.74776037   37.70960863]
330,[-121.76504119   37.69621474]
331,[-121.73241924   37.6962809 ]
332,[-122.14071843   38.02277771]
333,[-122.1314225   37.6815896]
334,[-122.0228195    37.96986272]
335,[-121.81674113   38.00058791]
338,[-122.24040629   37.55422114]
339,[-122.20847218   37.47988311]
342,[-121.38908541   38.04866611]
344,[-121.49111128   36.83294357]
345,[-122.07514939   37.40104556]
346,[-122.09752167   37.39744292]
347,[-122.1230514   37.4376682]
349,[-121.7838353    37.22961637]
351,[-121.86603408   37.33686342]
352,[-121.90988182   37.26031982]
353,[-121.78959173   37.32784273]
362,[-121.46991943   38.46235741]
365,[-121.96297235   37.04087056]
366,[-121.93828956   38.3949288 ]
367,[-122.73503541   38.2631323 ]
369,[-122.21534942   38.12836325]
370,[-122.20978294   38.10461047]
371,[-122.21534748   38.09314861]
372,[-122.23731246   38.124844  ]
374,[-121.02367805   37.69701775]
377,[-121.629746     36.66963847]
378,[-121.8297344    36.61255327]
380,[-121.946207     37.31706891]
382,[-121.96133386   37.53570193]
384,[-121.737298     38.54747657]
385,[-122.17959432   37.90400679]
386,[-122.24730384   37.74126579]
387,[-122.10818216   37.70568771]
388,[-122.19088758   37.71352724]
389,[-122.14032183   37.68560138]
390,[-121.89593613   37.23565208]
391,[-121.8676857   37.2695368]
392,[-122.07577977   37.62498038]
393,[-122.08283157   37.59620552]
394,[-122.18992821   37.48185957]
395,[-122.22529319   37.45399473]
396,[-121.88055433   37.35467073]
397,[-122.22327226   38.09483922]
398,[-122.24260331   38.14909431]
399,[-122.06600684   38.26701532]
400,[-122.04108008   38.26674331]
401,[-122.008484     38.26987155]
403,[-122.56400164   38.01779179]
406,[-121.38040363   36.84397267]
408,[-122.44994392   37.67626839]
409,[-122.48865108   37.65298412]
410,[-122.4671808    37.59243498]
414,[-121.5916696    37.93368541]
415,[-122.08267133   38.00100467]
416,[-122.05420068   37.92632203]
417,[-122.32288432   37.91678416]
418,[-121.87120856   37.43372067]
419,[-121.96703512   37.29742576]
420,[-122.04261177   36.98787166]
421,[-122.24886      38.10071729]
422,[-122.258886     37.77057633]
423,[-122.50764515   37.98192204]
431,[-122.25609005   37.87306391]
432,[-121.27779616   37.78431258]
433,[-122.30933844   37.55824131]
434,[-122.42331733   37.78745275]
435,[-122.07519567   37.57827483]
436,[-121.91496065   37.24326618]
437,[-122.00996673   37.30183513]
438,[-122.02299648   37.35561813]
439,[-122.01424159   38.28460576]
440,[-122.32844352   38.31156902]
442,[-123.80016814   39.44736369]
443,[-122.44063088   37.76478429]
445,[-122.4387057   37.778322 ]
446,[-122.22882558   37.80843687]
447,[-122.1420217    37.69734705]
448,[-122.01825253   37.57030205]
451,[-121.2999248    38.58758313]
452,[-122.42074409   37.79836091]
454,[-121.90507256   37.43876933]
455,[-121.98621583   37.32715956]
456,[-122.28038936   37.83905791]
457,[-122.27353641   37.82064888]
458,[-122.27093733   37.80009044]
459,[-122.24104264   37.79130536]
460,[-122.21124781   37.78073063]
461,[-122.18349131   37.75106088]
462,[-122.27180407   37.88840387]
463,[-122.26893464   37.86807691]
464,[-122.27527327   37.85003853]
465,[-122.06336262   37.69960217]
466,[-122.15524995   37.72340636]
467,[-122.11410331   37.69887154]
468,[-122.126273     37.67105647]
469,[-122.09381175   37.63584558]
470,[-122.07597647   37.58783635]
471,[-122.01288177   37.589721  ]
472,[-122.0231505   37.557816 ]
473,[-121.95088364   37.54578491]
475,[-122.06347437   37.90563911]
477,[-122.16748672   37.87980607]
478,[-122.26400773   38.00010708]
479,[-122.33398312   37.96656392]
480,[-122.34157718   37.93933364]
481,[-122.30237833   37.90972958]
485,[-121.71142982   37.94047247]
486,[-121.73370738   37.95273781]
487,[-121.90005638   38.01325408]
488,[-122.05607252   37.93862156]
489,[-122.00194633   37.963411  ]
495,[-122.428483     37.61964137]
496,[-122.2810778    38.31704405]
499,[-122.55981695   37.90951144]
503,[-121.65055817   36.66506583]
505,[-121.50217163   38.58248438]
513,[-121.45739784   38.63372747]
516,[-121.29769936   38.71052055]
517,[-121.31590569   38.69524188]
526,[-121.34097291   37.99559909]
528,[-122.343335     37.58499985]
529,[-122.2991147   37.532927 ]
530,[-122.1952371   37.474809 ]
531,[-122.18218993   37.4481576 ]
532,[-122.41107257   37.80652864]
533,[-122.40711864   37.79962257]
534,[-122.45180721   37.7887015 ]
535,[-122.45648967   37.77849244]
536,[-122.42257944   37.78309644]
537,[-122.42973656   37.77602133]
540,[-121.44044688   37.75772894]
541,[-122.47880765   37.68215987]
542,[-122.45172271   37.63956571]
543,[-122.44968064   37.6337825 ]
544,[-121.91484854   37.33232608]
545,[-121.88936725   37.34177433]
546,[-121.90987053   37.30902407]
547,[-121.88662717   37.25666139]
548,[-121.84946608   37.33348242]
549,[-121.84980894   37.29969944]
550,[-121.83131167   37.33997433]
551,[-121.84498936   37.34997364]
552,[-121.8413663   37.3653341]
553,[-121.85959795   37.40936847]
554,[-122.0044438    37.40196035]
555,[-121.94835116   37.38460411]
556,[-121.97416618   37.3464    ]
557,[-122.00003109   37.28218553]
558,[-122.04523621   37.34386857]
559,[-122.04082427   37.375711  ]
560,[-122.0570026   37.3790469]
561,[-122.07427679   37.38613929]
562,[-122.11107838   37.41487992]
563,[-121.87719109   37.23022382]
564,[-121.82362808   37.2551345 ]
565,[-121.77183169   37.22992144]
566,[-121.85483965   37.24310394]
567,[-121.64368437   37.13480375]
568,[-121.58386991   37.02567987]
569,[-121.57795563   37.0055035 ]
570,[-122.20850383   38.11403606]
571,[-122.23692114   38.09627371]
572,[-122.01496356   38.27725078]
573,[-122.04226145   38.25404091]
577,[-122.80986717   38.70789336]
583,[-120.86941044   37.53321387]
586,[-121.74542265   38.54954835]
587,[-121.76510964   38.68398118]
590,[-122.2518135    37.80168667]
591,[-122.23789378   37.80058011]
592,[-122.22655014   37.78230329]
593,[-122.21525342   37.78295325]
594,[-122.19294747   37.77752167]
595,[-122.18415908   37.73397938]
596,[-122.25892693   37.89140271]
597,[-122.29682825   37.8741885 ]
598,[-122.25767973   37.85411673]
599,[-122.23115847   37.76359647]
600,[-122.25124787   37.7605876 ]
601,[-122.08436147   37.706221  ]
602,[-122.067788     37.68683352]
603,[-122.10699568   37.68244226]
604,[-122.07962085   37.65784423]
605,[-122.095064    37.6539735]
606,[-122.07932336   37.64370855]
607,[-122.06997589   37.64400967]
608,[-122.28008856   37.80425211]
609,[-122.27649177   37.81069408]
610,[-122.2666418   37.8069588]
611,[-122.25913158   37.81139067]
612,[-122.25321853   37.82297073]
613,[-122.21273287   37.8056218 ]
614,[-122.06685925   37.59372325]
615,[-122.0178575    37.58084663]
616,[-121.94664419   38.02395819]
617,[-122.07192556   37.98104103]
618,[-122.0344421    37.99298845]
619,[-121.98683967   37.96949267]
620,[-122.04450894   37.95610822]
621,[-122.05809989   37.89058678]
622,[-121.9496904    37.74673575]
623,[-121.97724252   37.74514858]
624,[-122.10351421   37.88947462]
625,[-122.30915603   38.00271631]
